City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Puerto Ayora,EC,2021-04-01 18:24:17,-0.7393,-90.3518,82.4,74,20,9.22
152,Hailar,CN,2021-04-01 18:24:18,49.2,119.7,37.26,96,100,8.59
153,Talnakh,RU,2021-04-01 18:24:18,69.4865,88.3972,-14.17,80,2,6.98
154,Cabra,ES,2021-04-01 18:24:19,37.4725,-4.4421,69.01,51,41,1.99
155,Arlit,NE,2021-04-01 18:24:19,18.7369,7.3853,83.98,7,0,8.84
156,Olafsvik,IS,2021-04-01 18:24:19,64.8945,-23.7142,40.75,82,99,12.88
157,College,US,2021-04-01 18:19:36,64.8569,-147.8028,5.0,66,75,5.75
158,Port Lincoln,AU,2021-04-01 18:24:20,-34.7333,135.8667,68.11,69,0,7.2
159,Hovd,MN,2021-04-01 18:24:20,48.0056,91.6419,27.05,66,95,3.29
160,Merauke,ID,2021-04-01 18:24:21,-8.4667,140.3333,77.0,91,100,6.29
161,San Andres,CO,2021-04-01 18:24:21,12.5847,-81.7006,87.8,66,20,17.27
162,Hirara,JP,2021-04-01 18:24:22,24.8,125.2833,75.31,91,5,9.08
163,Rio Grande,BR,2021-04-01 18:24:23,-32.035,-52.0986,75.2,69,75,9.22
164,Anchorage,US,2021-04-01 18:24:23,61.2181,-149.9003,19.4,45,90,8.05
165,Khatanga,RU,2021-04-01 18:21:15,71.9667,102.5,-37.03,100,12,2.55
166,San Patricio,US,2021-04-01 18:24:24,28.017,-97.5169,69.8,24,90,19.57
167,Guerrero Negro,MX,2021-04-01 18:23:00,27.9769,-114.0611,76.06,30,2,9.95
168,Batagay-Alyta,RU,2021-04-01 18:22:31,67.8006,130.4114,-5.6,99,97,2.48
169,Barcelos,PT,2021-04-01 18:24:25,41.5388,-8.6151,62.01,77,40,2.3
170,Castro,BR,2021-04-01 18:24:25,-24.7911,-50.0119,71.69,40,20,3.67
171,Ponta Do Sol,PT,2021-04-01 18:21:01,32.6667,-17.1,68.0,68,20,11.5
172,Paamiut,GL,2021-04-01 18:24:26,61.994,-49.6678,36.7,80,100,41.29
