City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
116,Yanam,IN,77.54,broken clouds,16.7333,82.2167,The Regency Hotel
117,Tambopata,PE,82.4,broken clouds,-12.7333,-69.1833,
119,Ko Samui,TH,82.35,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
122,Wewak,PG,77.85,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
123,Vila Velha,BR,82.4,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
124,San Blas,MX,84.2,clear sky,21.5167,-105.2667,Hotel Posada del Rey
125,Upington,ZA,84.2,clear sky,-28.4478,21.2561,River Place Manor
136,Saint George,US,75.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
140,Takoradi,GH,81.97,scattered clouds,4.8845,-1.7554,Raybow International Hotel
141,Sumbe,AO,79.41,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
143,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
146,Comodoro Rivadavia,AR,80.6,clear sky,-45.8667,-67.5,Austral Hotel
148,Ancud,CL,70.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
150,Dingle,PH,75.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
152,Hambantota,LK,79.27,overcast clouds,6.1241,81.1185,Bungalow 63
153,Labuhan,ID,76.33,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
159,Tignere,CM,78.96,few clouds,7.3667,12.65,SADECK
160,Kutum,SD,76.78,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
163,Taylorville,US,73.0,clear sky,39.5489,-89.2945,Economy Inn
168,Kiunga,PG,71.35,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
170,Surt,LY,82.09,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
182,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
184,Olinala,MX,83.95,clear sky,17.8333,-98.85,
186,Muros,ES,70.0,clear sky,42.7762,-9.0603,Apartment Av. Castelao
188,Axim,GH,81.93,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
189,Upata,VE,79.57,overcast clouds,8.0086,-62.3989,Posada Villa Nela
190,Phulabani,IN,73.15,clear sky,20.4667,84.2333,Hotel Raj Kamal
191,Mitu,CO,72.79,overcast clouds,1.1983,-70.1733,
192,Souillac,MU,81.0,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
202,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
203,Lata,PT,71.01,clear sky,40.1629,-8.3327,Casa Maquia
206,Bosaso,SO,79.07,scattered clouds,11.2842,49.1816,Red Sea Hotel
211,Chuy,UY,74.57,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
214,Sao Gabriel Da Cachoeira,BR,82.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
215,Votorantim,BR,82.99,overcast clouds,-23.5467,-47.4378,Hotel Bela Vista Votorantim
222,Lalpur,IN,81.37,clear sky,22.2,69.9667,Radhe Duplex Lalpur
223,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
234,Sao Filipe,CV,75.47,scattered clouds,14.8961,-24.4956,Tortuga B&B
242,Cidreira,BR,75.25,clear sky,-30.1811,-50.2056,Hotel Castelo
244,Riyadh,SA,75.2,clear sky,24.6877,46.7219,InterContinental Riyadh
248,Srivardhan,IN,78.62,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
249,Lingao,CN,75.07,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
253,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
255,Moron,AR,80.01,scattered clouds,-34.6534,-58.6198,Hotel Morón
258,Trat,TH,80.01,overcast clouds,12.5,102.5,สวนหนิง-อัศ
271,Sawakin,SD,76.19,scattered clouds,19.1059,37.3321,فندق الدويم
276,Sola,VU,80.35,overcast clouds,-13.8833,167.55,Leumerus Bungalows
279,Auki,SB,78.08,overcast clouds,-8.7676,160.7034,Auki Motel
284,Port-Gentil,GA,84.2,light rain,-0.7193,8.7815,Fengshui Residence
293,Mogadishu,SO,82.58,broken clouds,2.0371,45.3438,Olympic Hotel
294,Bowen,AU,73.4,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
296,Katobu,ID,77.74,light rain,-4.9408,122.5276,La Ode Husein
298,Teahupoo,PF,77.0,broken clouds,-17.8333,-149.2667,Vanira Lodge
301,Caconde,BR,75.2,scattered clouds,-21.5294,-46.6439,HOTEL - HOSPEDAGEM EM CACONDE
303,Daru,PG,76.32,broken clouds,-9.0763,143.2092,Daru Lodge
305,Villa Maria,AR,82.0,broken clouds,-32.4075,-63.2402,Hotel Milenium
308,Arraial Do Cabo,BR,84.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
312,Nalut,LY,81.16,overcast clouds,30.3333,10.85,
314,Natal,BR,84.2,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
315,Huarmey,PE,76.66,broken clouds,-10.0681,-78.1522,Hotel Miramar
316,Tautira,PF,77.0,broken clouds,-17.7333,-149.15,Pension Oaoa
317,Sao Sebastiao,BR,76.33,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
318,Elvas,PT,73.99,clear sky,38.8815,-7.1628,Hotel Jardim
320,Trinidad,BO,80.6,light rain,-14.8333,-64.9,Hotel Piesta
325,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
327,Gouyave,GD,84.2,few clouds,12.1646,-61.7296,Rumboat Retreat
328,Ayame,CI,80.2,light rain,5.6083,-3.1563,Hotel Bossan
330,Beira,MZ,77.0,few clouds,-19.8436,34.8389,Beira Terrace Hotel
334,Umm Kaddadah,SD,79.92,scattered clouds,13.6017,26.6876,
338,Avera,US,71.01,clear sky,33.194,-82.5271,
340,Asyut,EG,73.0,clear sky,27.181,31.1837,Florence Hotel Assiut
341,Omboue,GA,78.46,light rain,-1.5746,9.2618,Hotel Olako
343,Tura,IN,71.65,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
344,Waingapu,ID,78.04,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
345,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
351,Sechura,PE,82.06,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
353,Porto Velho,BR,84.2,light rain,-8.7619,-63.9039,Hotel Central
354,La Asuncion,VE,80.64,broken clouds,11.0333,-63.8628,Colinas de Matasiete
357,Karratha,AU,82.83,clear sky,-20.7377,116.8463,ibis Styles Karratha
358,Necochea,AR,81.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
359,Sulangan,PH,81.81,broken clouds,11.1373,123.7228,Maia's Beach Resort
360,Nova Aurora,BR,83.61,overcast clouds,-22.8667,-52.5667,
365,Meulaboh,ID,76.98,overcast clouds,4.1363,96.1285,Kost Pria
369,San Gabriel,US,75.0,clear sky,34.0961,-118.1058,Hilton Los Angeles/San Gabriel
372,Yeppoon,AU,73.4,overcast clouds,-23.1333,150.7333,Villa Mar Colina
374,Sibolga,ID,76.86,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
380,Peruibe,BR,75.56,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
386,Saint Anthony,US,75.2,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
397,Tahta,EG,74.44,clear sky,26.7693,31.5021,El Salam Hotel
398,Xapuri,BR,80.19,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
402,Pandan,PH,80.47,broken clouds,14.0453,124.1694,Bonifacio Lodge
410,Mackay,AU,73.4,light rain,-21.15,149.2,International Lodge Motel
414,Banjar,ID,82.4,few clouds,-8.19,114.9675,The Hamsa Resort
422,Sao Jose Da Coroa Grande,BR,83.07,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
423,Mar Del Plata,AR,77.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
425,Nouadhibou,MR,71.6,broken clouds,20.931,-17.0347,El Medina
431,Nabire,ID,74.07,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
432,Tucupita,VE,81.9,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
439,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
442,Poso,ID,82.0,light rain,-1.3959,120.7524,Hotel 77 Poso
445,Bima,ID,76.23,overcast clouds,-8.4667,118.7167,Lambitu Hotel
448,Tarabha,IN,79.47,clear sky,20.7333,83.65,The spicy house
449,Puerto Leguizamo,CO,73.31,light rain,-0.1934,-74.7819,la casona de juancho
452,Isangel,VU,75.81,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
453,Olavarria,AR,77.0,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
455,New Iberia,US,73.0,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
457,Aloleng,PH,79.41,clear sky,16.1307,119.7824,Agno Umbrella Rocks
458,Jalu,LY,77.23,clear sky,29.0331,21.5482,صاحبة الفخامة
460,Reyes,BO,82.4,overcast clouds,-14.3167,-67.3833,
463,Yangambi,CD,76.03,overcast clouds,0.8102,24.4336,
466,Palu,ID,75.87,moderate rain,-0.8917,119.8707,Hotel Santika Palu
467,Bairiki,KI,81.23,clear sky,1.3292,172.9752,Tarawa Boutique Hotel
468,Rapid Valley,US,78.01,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
469,Pemangkat,ID,77.81,scattered clouds,1.1667,108.9667,Kost H.Syamsuddin
471,Douglas,US,79.0,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
472,Maharajganj,IN,75.02,clear sky,27.1333,83.5667,Pt. Deen Dayal Hostel
473,Iquique,CL,73.4,moderate rain,-20.2208,-70.1431,Backpacker`s Hostel Iquique
476,Ternate,ID,80.4,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
479,Coruripe,BR,84.24,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
487,Impfondo,CG,77.67,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
490,Rabaul,PG,78.93,light rain,-4.1967,152.1721,Rabaul Hotel
