City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Banepa,NP,27.6298,85.5214,57.2,54,20,2.3,haze
135,Plettenberg Bay,ZA,-34.0527,23.3716,67.68,79,24,6.2,few clouds
136,Saint George,US,37.1041,-113.5841,75.99,19,1,1.19,clear sky
137,Hobart,AU,-42.8794,147.3294,55.99,67,40,8.05,scattered clouds
138,Piqua,US,40.1448,-84.2424,68.0,40,60,5.66,broken clouds
139,Coquimbo,CL,-29.9533,-71.3436,62.6,77,90,8.05,overcast clouds
140,Takoradi,GH,4.8845,-1.7554,81.97,79,25,10.85,scattered clouds
141,Sumbe,AO,-11.2061,13.8437,79.41,86,99,4.38,overcast clouds
142,Upernavik,GL,72.7868,-56.1549,-9.08,79,2,11.54,clear sky
143,Ambon,ID,-3.6954,128.1814,80.6,83,40,5.75,scattered clouds
144,Zaraysk,RU,54.7653,38.8836,30.99,100,74,5.21,broken clouds
145,Dauriya,RU,49.9333,116.8667,36.37,60,77,17.81,broken clouds
146,Comodoro Rivadavia,AR,-45.8667,-67.5,80.6,29,0,11.5,clear sky
147,Leningradskiy,RU,69.3833,178.4167,-2.36,95,100,6.17,overcast clouds
148,Ancud,CL,-41.8697,-73.8203,70.0,59,0,8.05,clear sky
149,East London,ZA,-33.0153,27.9116,64.4,77,0,4.61,clear sky
150,Dingle,PH,10.9995,122.6711,75.15,88,67,7.29,broken clouds
151,Rjukan,NO,59.8789,8.5941,46.99,60,78,1.99,broken clouds
152,Hambantota,LK,6.1241,81.1185,79.27,78,99,8.57,overcast clouds
153,Labuhan,ID,-6.8844,112.2051,76.33,91,100,10.22,overcast clouds
154,Guapo,BR,-16.8306,-49.5319,86.0,51,40,5.75,scattered clouds
155,Kruisfontein,ZA,-34.0033,24.7314,66.0,80,8,5.01,clear sky
156,Norman Wells,CA,65.282,-126.8329,6.8,66,40,8.05,scattered clouds
157,Fairbanks,US,64.8378,-147.7164,33.8,100,90,10.36,light snow
158,Petit Goave,HT,18.4314,-72.8669,86.0,54,75,2.3,broken clouds
159,Tignere,CM,7.3667,12.65,78.96,18,19,4.09,few clouds
160,Kutum,SD,14.2,24.6667,76.78,13,25,11.01,scattered clouds
161,Te Anau,NZ,-45.4167,167.7167,54.63,73,42,10.71,scattered clouds
162,Wangaratta,AU,-36.3667,146.3333,53.6,94,1,3.44,clear sky
163,Taylorville,US,39.5489,-89.2945,73.0,35,1,5.75,clear sky
164,Nantucket,US,41.2835,-70.0995,43.99,60,1,13.94,clear sky
165,Placido De Castro,BR,-10.3353,-67.1856,86.18,67,82,3.02,broken clouds
166,Bethel,US,41.3712,-73.414,57.0,24,1,3.44,clear sky
167,Miechow,PL,50.3565,20.0279,41.0,56,20,3.44,few clouds
168,Kiunga,PG,-6.1219,141.2906,71.35,93,89,2.06,moderate rain
169,Muyezerskiy,RU,63.9333,31.65,36.43,93,100,14.32,overcast clouds
170,Surt,LY,31.2089,16.5887,82.09,18,77,14.32,broken clouds
171,Vanavara,RU,60.34,102.2797,-1.01,98,60,3.71,broken clouds
172,Hikone,JP,35.25,136.25,52.0,95,100,1.99,overcast clouds
173,Tumut,AU,-35.3,148.2167,55.4,100,0,4.61,clear sky
174,Ostrovnoy,RU,68.0531,39.5131,32.09,88,100,19.84,overcast clouds
175,Talnakh,RU,69.4865,88.3972,7.65,79,99,11.27,overcast clouds
176,Tilichiki,RU,60.4667,166.1,6.82,89,100,16.4,overcast clouds
177,Sotouboua,TG,8.5667,0.9833,90.61,33,81,4.0,broken clouds
178,Luderitz,NA,-26.6481,15.1594,72.43,64,0,19.28,clear sky
179,Pevek,RU,69.7008,170.3133,-15.45,98,94,8.43,overcast clouds
180,Shannon,IE,52.7039,-8.8642,48.2,71,75,17.27,broken clouds
181,Zherdevka,RU,51.8486,41.4606,40.71,77,100,5.64,overcast clouds
182,Avarua,CK,-21.2078,-159.775,80.6,83,75,11.5,light rain
183,Qaanaaq,GL,77.484,-69.3632,-12.39,68,18,6.98,few clouds
184,Olinala,MX,17.8333,-98.85,83.95,25,1,4.29,clear sky
185,Ornskoldsvik,SE,63.2909,18.7153,37.4,81,90,8.05,overcast clouds
186,Muros,ES,42.7762,-9.0603,70.0,47,4,5.01,clear sky
187,Tasiilaq,GL,65.6145,-37.6368,23.0,63,90,8.05,light snow
188,Axim,GH,4.8699,-2.2405,81.93,79,29,10.07,scattered clouds
189,Upata,VE,8.0086,-62.3989,79.57,73,99,10.11,overcast clouds
190,Phulabani,IN,20.4667,84.2333,73.15,74,1,6.53,clear sky
191,Mitu,CO,1.1983,-70.1733,72.79,98,100,2.93,overcast clouds
192,Souillac,MU,-20.5167,57.5167,81.0,74,4,5.99,clear sky
193,Bagdarin,RU,54.4333,113.6,22.42,56,22,9.19,few clouds
194,Narsaq,GL,60.9167,-46.05,39.2,87,90,9.22,overcast clouds
195,Kommunisticheskiy,RU,61.6789,64.4819,32.32,98,100,4.97,overcast clouds
196,Changli,CN,39.7042,119.1506,49.82,29,7,6.76,clear sky
197,Paita,PE,-5.0892,-81.1144,89.6,48,0,12.66,clear sky
198,Margate,GB,51.3813,1.3862,53.01,61,24,4.0,few clouds
199,Hirara,JP,24.8,125.2833,66.92,71,86,26.22,overcast clouds
200,Teguldet,RU,57.3064,88.1667,29.17,97,100,2.89,overcast clouds
201,Vestmannaeyjar,IS,63.4427,-20.2734,22.23,49,59,31.23,broken clouds
202,Noumea,NC,-22.2763,166.4572,77.0,78,0,2.3,clear sky
203,Lata,PT,40.1629,-8.3327,71.01,52,0,11.5,clear sky
204,Moose Factory,CA,51.2585,-80.6094,39.2,69,1,6.91,clear sky
205,Bara,NG,10.3744,10.7288,89.78,12,42,6.85,scattered clouds
206,Bosaso,SO,11.2842,49.1816,79.07,62,36,0.94,scattered clouds
207,Kysyl-Syr,RU,63.8986,122.7617,-25.06,99,66,3.4,broken clouds
208,Coos Bay,US,43.3665,-124.2179,53.01,87,90,8.05,overcast clouds
209,Ahuimanu,US,21.4447,-157.8378,69.8,88,90,14.97,light rain
210,Westport,US,41.1415,-73.3579,57.0,24,75,6.55,broken clouds
211,Chuy,UY,-33.6971,-53.4616,74.57,69,22,11.83,few clouds
212,Pasighat,IN,28.0667,95.3333,69.76,47,17,4.94,few clouds
213,Maarianhamina,AX,60.0973,19.9348,39.2,81,0,18.41,clear sky
214,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.4,83,40,6.91,scattered clouds
215,Votorantim,BR,-23.5467,-47.4378,82.99,40,96,5.99,overcast clouds
216,San Quintin,MX,30.4833,-115.95,66.83,63,21,15.39,few clouds
217,Port Elizabeth,ZA,-33.918,25.5701,66.2,82,20,21.85,few clouds
218,Lulea,SE,65.5842,22.1547,41.0,70,0,11.5,clear sky
219,Yerbogachen,RU,61.2767,108.0108,-15.43,99,68,4.07,broken clouds
220,Placerville,US,38.7296,-120.7986,62.01,62,1,3.44,clear sky
221,Balkhash,KZ,46.844,74.9804,43.65,54,100,8.95,overcast clouds
222,Lalpur,IN,22.2,69.9667,81.37,54,0,10.74,clear sky
223,Padang,ID,-0.9492,100.3543,75.2,88,20,2.3,few clouds
224,Katsuura,JP,35.1333,140.3,66.0,97,100,3.0,overcast clouds
225,Zhigansk,RU,66.7697,123.3711,-24.68,100,53,5.55,broken clouds
226,Longyearbyen,SJ,78.2186,15.6401,24.8,68,75,31.07,snow
227,Codrington,AU,-38.2667,141.9667,57.61,66,89,8.57,overcast clouds
228,Poronaysk,RU,49.2167,143.1167,21.6,84,8,4.85,clear sky
229,Frolovo,RU,49.7713,43.6622,39.0,71,100,1.01,overcast clouds
230,Zyryanka,RU,65.75,150.85,-9.18,99,100,6.35,overcast clouds
231,Okha,RU,53.5739,142.9478,9.81,81,14,13.96,few clouds
232,Ust-Maya,RU,60.4167,134.5333,-16.96,100,55,1.25,broken clouds
233,Barreiras,BR,-12.1528,-44.99,96.15,26,54,3.62,broken clouds
234,Sao Filipe,CV,14.8961,-24.4956,75.47,69,42,5.95,scattered clouds
235,Okhotsk,RU,59.3833,143.3,18.0,97,100,2.13,overcast clouds
236,Richards Bay,ZA,-28.783,32.0377,66.43,75,0,4.32,clear sky
237,Portobelo,PA,9.55,-79.65,86.0,74,67,7.0,broken clouds
238,Blankenberge,BE,51.3131,3.1323,46.0,75,0,8.05,clear sky
239,Gat,IL,31.61,34.7642,64.0,27,0,8.16,clear sky
240,Eucaliptus,BO,-17.5833,-67.5167,57.69,37,100,8.63,overcast clouds
241,Nome,US,64.5011,-165.4064,-0.4,78,90,26.46,mist
242,Cidreira,BR,-30.1811,-50.2056,75.25,69,5,15.17,clear sky
243,Ust-Nera,RU,64.5667,143.2,-0.85,98,100,6.89,overcast clouds
244,Riyadh,SA,24.6877,46.7219,75.2,10,0,12.66,clear sky
245,Inverell,AU,-29.7833,151.1167,57.99,95,99,4.56,light rain
246,Ribeira Brava,PT,32.65,-17.0667,64.4,59,75,2.3,broken clouds
247,Akureyri,IS,65.6835,-18.0878,15.8,86,90,18.41,light snow
248,Srivardhan,IN,18.0333,73.0167,78.62,78,17,5.53,few clouds
249,Lingao,CN,19.9103,109.6859,75.07,89,46,9.37,scattered clouds
